更新时间: 2025-11-12 01:47:31（北京时间）

更新时间,#genre#
2025-11-12 01:47:31,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

贵州卫视,http://115.211.60.198:8001/rtp/233.50.200.139:5140$浙江电信
云南卫视,http://121.56.186.21:4022/rtp/239.29.0.76:5000$内蒙古电信
云南卫视,http://115.211.60.198:8001/rtp/233.50.200.115:5140$浙江电信
天津卫视,http://121.56.186.21:4022/rtp/239.29.0.98:5000$内蒙古电信
天津卫视,http://115.211.60.198:8001/rtp/233.50.201.104:5140$浙江电信
天津卫视,http://115.211.60.198:8001/rtp/233.50.200.104:5140$浙江电信
安徽卫视,http://121.56.186.21:4022/rtp/239.29.0.81:5000$内蒙古电信
安徽卫视,http://115.211.60.198:8001/rtp/233.50.201.113:5140$浙江电信
安徽卫视,http://115.211.60.198:8001/rtp/233.50.200.106:5140$浙江电信
山东卫视,http://121.56.186.21:4022/rtp/239.29.0.106:5000$内蒙古电信
山东卫视,http://115.211.60.198:8001/rtp/233.50.201.105:5140$浙江电信
山东卫视,http://115.211.60.198:8001/rtp/233.50.200.127:5140$浙江电信
山东卫视,http://115.211.60.198:8001/rtp/233.50.202.108:5140$浙江电信
辽宁卫视,http://121.56.186.21:4022/rtp/239.29.0.109:5000$内蒙古电信
辽宁卫视,http://115.211.60.198:8001/rtp/233.50.201.141:5140$浙江电信
辽宁卫视,http://115.211.60.198:8001/rtp/233.50.200.129:5140$浙江电信
辽宁卫视,http://115.211.60.198:8001/rtp/233.50.200.173:5140$浙江电信
黑龙江卫视,http://121.56.186.21:4022/rtp/239.29.0.91:5000$内蒙古电信
黑龙江卫视,http://115.211.60.198:8001/rtp/233.50.201.115:5140$浙江电信
黑龙江卫视,http://115.211.60.198:8001/rtp/233.50.200.189:5140$浙江电信
吉林卫视,http://121.56.186.21:4022/rtp/239.29.1.125:5000$内蒙古电信
吉林卫视,http://115.211.60.198:8001/rtp/233.50.200.164:5140$浙江电信
吉林卫视,http://115.211.60.198:8001/rtp/233.50.202.42:5140$浙江电信
内蒙古卫视,http://121.56.186.21:4022/rtp/239.29.0.2:5000$内蒙古电信
宁夏卫视,http://121.56.186.21:4022/rtp/239.29.0.80:5000$内蒙古电信
宁夏卫视,http://115.211.60.198:8001/rtp/233.50.202.45:5140$浙江电信
山西卫视,http://121.56.186.21:4022/rtp/239.29.1.55:5001$内蒙古电信
陕西卫视,http://121.56.186.21:4022/rtp/239.29.1.86:5001$内蒙古电信
甘肃卫视,http://121.56.186.21:4022/rtp/239.29.1.124:5000$内蒙古电信
